Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
02/25/2025 01:00:00,02/25/2025 07:00:00,AEC,SOUC,24.9600,0.1917,-1.3022,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,AECC_CSWS,CSWS_AECC_LA,27.0409,0.8465,0.1239,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,AECC_ELKINS,CSWSELKINSUNELKINS_RA,27.5075,0.7907,0.6463,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,AECC_FITZHUGH,CSWSFITZHUGHPLT1,26.7265,1.0079,-0.3519,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,AECC_FLTCREEK,CSWSFLINTCRKUN1_JOU_AECC_RA,27.0719,0.2642,0.7372,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,AECC_FULTON,CSWSFULTON_CUNFULT_RA,25.6741,0.3312,-0.7276,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,AECC_HYDRO13,CSWSLD13UN1_RA,26.6334,0.7255,-0.1626,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,AECC_JWTURK,CSWSTURK_PPUNTURK_AECC_RA,25.5180,0.1119,-0.6644,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,AECI,AECI,25.1601,0.1585,-1.0689,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,AEPM_CSWS,CSWS_LA,26.8191,0.9687,-0.2201,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,ALTW,MISO,23.4603,-0.2483,-2.3619,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,AMRN,MISO,23.4603,-0.2483,-2.3619,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,ANTELOPE,SPSANTELOPEUNANT1_RA,17.2102,-0.5109,-8.3494,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,BBA,MISO,23.4603,-0.2483,-2.3619,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,BCA,MISO,23.4603,-0.2483,-2.3619,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,BEPM.ER01.DDR,ER01_DDR,19.7808,-1.4933,-4.7964,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,BEPM_ER01,BEPM_ER01_LA,19.7808,-1.4933,-4.7964,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,BEPM_RM_NPPD,NPPD_BEPM_RUSHMORE_LA,20.3265,0.2356,-5.9797,26.0706
02/25/2025 01:00:00,02/25/2025 07:00:00,BEPM_TS_NPPD,NPPD_BEPM_TRISTATE_LA,14.3644,-3.6092,-8.0969,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,BEPM_UM01,BEPM_UM01_LA,21.7175,-0.1236,-4.2295,26.0706
02/25/2025 01:00:00,02/25/2025 07:00:00,BLKW,BLKW,35.6761,-0.3711,9.9767,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,BLUECANYON1,WFECBLUCAN14UNUN1_BLUCAN14_RA,26.0384,0.2201,-0.2522,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,BLUECANYON2,WFECBLUCAN14UNUN2_BLUCAN14_RA,26.0384,0.2201,-0.2522,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,BLUECANYON5,WFECCHERRYRDUNBLUCAN5_WND_RA,27.0686,1.0881,-0.0901,26.0706
02/25/2025 01:00:00,02/25/2025 07:00:00,BLUECANYON6,WFECSLCKHILSUNBLUCAN6_WIND_RA,26.0604,0.2421,-0.2522,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,BRAZ,MISO,23.4603,-0.2483,-2.3619,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,BUBA,MISO,23.4603,-0.2483,-2.3619,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,BUFFALO_DUNES_WIND,SPSFINNEY1UNBUFFDUNE_WIND_RA,26.2055,-1.6414,1.7764,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CANADIAN_HILLS_1,OKGECIMARRONUNCANADN1_WIND_RA,26.2100,0.3292,-0.1897,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CANADIAN_HILLS_2,OKGECIMARRONUNCANADN2_WIND_RA,26.2100,0.3292,-0.1897,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CANADIAN_HILLS_3,GRDACMRN_GRDLDCANADN3_WIND_RA,26.2100,0.3292,-0.1897,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CANADIAN_HILLS_4,OKGECIMARRONUNCANADN4_WIND_RA,26.2100,0.3292,-0.1897,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CANADIAN_HILLS_5,OKGECIMARRONUNCANADN5_WIND_RA,26.2100,0.3292,-0.1897,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CANEY_RIVER_WINDPOWER,WRCAN_RIVRUNCANEY_WIND_RA,25.1137,-0.5411,-0.4157,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CASS_CO_1,OPPDCASSCNTYUN1_RA,20.1626,-1.6681,-4.2398,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CASS_CO_2,OPPDCASSCNTYUN2_RA,20.1626,-1.6681,-4.2398,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CLEC,MISO,23.4603,-0.2483,-2.3619,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,COFFEYVILLE_7,GRDACOFFEYGRUN7_RA,26.7859,0.5656,0.1498,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,COWP,COWP_LA,25.6277,0.3693,-0.8121,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,COWP_GEN1,WRW_PLAINGUNCOWP_GEN1_RA,25.6277,0.3693,-0.8121,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,COWP_GEN2,WRW_PLAINGUNCOWP_GEN2_RA,25.6277,0.3693,-0.8121,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CPLE,VACS,24.8570,0.1581,-1.3716,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CPLW,VACS,24.8570,0.1581,-1.3716,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CROSSROADS1,MPSCRSRD_EXUNCROSSROADS1_RA,25.1809,0.2568,-1.1464,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CROSSROADS2,MPSCRSRD_EXUNCROSSROADS2_RA,25.1809,0.2568,-1.1464,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CROSSROADS3,MPSCRSRD_EXUNCROSSROADS3_RA,25.1809,0.2568,-1.1464,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CROSSROADS4,MPSCRSRD_EXUNCROSSROADS4_RA,25.1809,0.2568,-1.1464,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CRTH_SPA,WRCRTH_SPA_LA,30.0334,0.7341,3.2288,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CSWARSENALHILL5,CSWSARSENALUN5_RA,26.0456,0.7293,-0.7542,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CSWCOMANCHE1,CSWSCOMANCHEPLT1,25.9025,0.8741,-1.0422,26.0706
02/25/2025 01:00:00,02/25/2025 07:00:00,CSWETTURK,CSWSTURK_PPUNCSWETTURK_RA,25.5180,0.1119,-0.6644,26.0705
02/25/2025 01:00:00,02/25/2025 07:00:00,CSWFLINTCREEK1,CSWSFLINTCRKUN1_RA,27.0719,0.2642,0.7372,26.0705
