Operating Day,Settlement Area,Day-Ahead Make Whole Payment Amount,Reliability Unit Commitment Make Whole Payment Amount,Real-Time Out-of-Merit Amount,Real-Time Regulation Service Deployment Adjustment Amount,Real-Time Reserve Sharing Group Amount,Regulation-Up Mileage Make Whole Payment Amount,Regulation-Down Mileage Make Whole Payment Amount,Total Uplift Payments
02/01/2025,CSWS,-72117.46,0.00,0.00,-1383.72,,-202.78,-213.44,-73917.40
02/01/2025,EDE,0.00,0.00,0.00,-76.76,,-0.15,-1.34,-78.25
02/01/2025,GRDA,-20.52,,0.00,-362.30,,-0.15,0.00,-382.97
02/01/2025,INDN,0.00,,0.00,,,,,0.00
02/01/2025,KACY,0.00,0.00,0.00,-504.66,,-0.74,-0.51,-505.91
02/01/2025,KCPL,-14517.41,,0.00,,,,,-14517.41
02/01/2025,LES,,,0.00,,,,,0.00
02/01/2025,MIDW,0.00,,0.00,-83.47,,,-17.25,-100.72
02/01/2025,MPS,-15299.32,,0.00,0.00,,-7.49,,-15306.81
02/01/2025,NPPD,0.00,0.00,0.00,-572.49,,-27.45,-18.92,-618.86
02/01/2025,OKGE,-19518.56,0.00,0.00,-250.84,,0.00,-91.83,-19861.23
02/01/2025,OPPD,0.00,0.00,0.00,-130.61,,0.00,0.00,-130.61
02/01/2025,SECI,0.00,,0.00,-1021.31,,-12.96,0.00,-1034.27
02/01/2025,SPRM,-23711.59,,0.00,-158.01,,0.00,-3.33,-23872.93
02/01/2025,SPS,-131270.16,-177719.17,-14854.29,-8690.81,,-251.88,-33.39,-332819.70
02/01/2025,WAUE,-229476.07,-864.59,0.00,-513.63,,-4.58,-12.31,-230871.18
02/01/2025,WFEC,-1589.47,,0.00,-1286.29,,-15.95,-3.70,-2895.41
02/01/2025,WR,-109154.19,0.00,0.00,-1881.65,,-31.65,-0.16,-111067.65
02/02/2025,CSWS,-4799.66,-162663.58,0.00,2505.56,,-26.26,-66.82,-165050.76
02/02/2025,EDE,0.00,-6359.95,0.00,47.72,,0.00,-0.87,-6313.10
02/02/2025,GRDA,0.00,,0.00,-739.91,,-2.05,0.00,-741.96
02/02/2025,INDN,0.00,,0.00,,,,,0.00
02/02/2025,KACY,0.00,0.00,0.00,14.37,,0.00,0.00,14.37
02/02/2025,KCPL,0.00,,0.00,-557.25,,0.00,-53.12,-610.37
02/02/2025,LES,,-14080.79,0.00,,,0.00,0.00,-14080.79
02/02/2025,MIDW,0.00,,0.00,-1.24,,,-0.34,-1.58
02/02/2025,MPS,-728.38,-26324.11,-1.79,99.71,,-4.88,-0.22,-26959.67
02/02/2025,NPPD,-55.24,-10296.22,0.00,779.39,,-6.74,-0.19,-9579.00
02/02/2025,OKGE,0.00,-124753.46,0.00,-891.69,,0.00,-52.67,-125697.82
02/02/2025,OPPD,0.00,,0.00,-442.27,,0.00,0.00,-442.27
02/02/2025,SECI,0.00,,0.00,59.68,,0.00,-0.23,59.45
02/02/2025,SPRM,-8591.71,,0.00,1.76,,0.00,-2.81,-8592.76
02/02/2025,SPS,-7867.93,-116609.16,-878.47,-2015.38,,-10.43,-88.48,-127469.85
02/02/2025,WAUE,-58573.73,-680.61,0.00,-881.59,,-5.40,-94.21,-60235.54
02/02/2025,WFEC,0.00,-41049.06,0.00,119.49,,-0.66,0.00,-40930.23
02/02/2025,WR,-635.49,-46133.23,-78.72,2103.99,,-1.91,-97.95,-44843.31
02/03/2025,CSWS,-25222.82,-50859.04,-194.93,-497.70,,-153.35,-913.83,-77841.67
02/03/2025,EDE,0.00,0.00,0.00,-241.10,,-1.45,-33.27,-275.82
02/03/2025,GRDA,0.00,,0.00,-168.06,,-9.42,0.00,-177.48
02/03/2025,INDN,-1273.61,,0.00,0.00,,0.00,,-1273.61
02/03/2025,KACY,0.00,0.00,0.00,-394.03,,0.00,0.00,-394.03
02/03/2025,KCPL,-90668.09,,0.00,-57.13,,0.00,-27.65,-90752.87
02/03/2025,LES,,,0.00,,,,,0.00
02/03/2025,MIDW,0.00,,0.00,-70.24,,,-109.38,-179.62
02/03/2025,MPS,-7422.41,-225883.13,0.00,-1242.36,,-0.10,0.00,-234548.00
02/03/2025,NPPD,0.00,0.00,0.00,-2061.87,,0.00,-58.98,-2120.85
02/03/2025,OKGE,-26129.44,-26473.89,0.00,-566.75,,-8.58,-724.10,-53902.76
02/03/2025,OPPD,0.00,,0.00,-726.21,,0.00,0.00,-726.21
02/03/2025,SECI,0.00,,0.00,-2150.96,,-0.35,-0.67,-2151.98
02/03/2025,SPRM,-10277.33,,0.00,-174.87,,0.00,-2.14,-10454.34
